gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,bachelor's degree,standard,completed,96,100,100
male,group D,some college,standard,none,97,86,88
male,group A,high school,standard,completed,74,65,67
female,group E,high school,standard,none,100,100,98
female,group C,high school,standard,none,58,53,58
female,group A,associate's degree,standard,completed,62,83,76
female,group D,some college,standard,none,85,96,99
female,group C,some high school,standard,none,57,73,68
female,group B,master's degree,free/reduced,none,54,60,55
female,group A,high school,free/reduced,none,46,55,59
female,group D,some high school,free/reduced,completed,66,70,75
female,group A,associate's degree,free/reduced,none,36,48,48
male,group B,some college,standard,none,75,58,61
male,group E,some high school,free/reduced,completed,85,84,78
male,group C,some college,free/reduced,completed,71,60,64
male,group C,some college,free/reduced,none,48,46,41
female,group E,some high school,free/reduced,none,64,78,74
male,group E,some high school,free/reduced,completed,78,73,70
female,group C,some college,free/reduced,completed,63,62,71
male,group B,some high school,standard,none,75,65,63
female,group E,some high school,standard,completed,83,91,87
male,group D,some high school,standard,none,69,61,60
female,group C,some high school,free/reduced,completed,32,48,51
female,group A,some high school,standard,none,54,59,63
male,group C,associate's degree,standard,none,77,74,68
female,group C,some college,standard,none,61,56,59
male,group E,associate's degree,standard,completed,87,74,75
female,group B,some college,free/reduced,completed,42,54,53
female,group C,master's degree,standard,none,66,91,84
male,group B,some college,standard,completed,70,63,59
female,group B,some high school,free/reduced,none,76,80,76
female,group C,high school,standard,none,71,75,78
male,group C,some college,standard,completed,99,90,90
female,group C,associate's degree,standard,none,52,57,59
female,group D,associate's degree,standard,completed,70,84,84
male,group B,some college,standard,none,64,52,48
female,group C,some high school,standard,none,78,78,71
female,group B,master's degree,standard,none,64,76,79
male,group D,associate's degree,standard,completed,78,67,68
male,group E,master's degree,free/reduced,none,67,56,52
male,group C,bachelor's degree,standard,none,55,56,50
male,group C,some high school,standard,completed,72,64,67
male,group B,some high school,free/reduced,none,71,73,62
female,group E,high school,standard,completed,82,89,89
male,group C,associate's degree,standard,completed,47,54,57
female,group E,associate's degree,free/reduced,none,66,85,78
male,group C,some high school,free/reduced,none,73,66,56
male,group D,bachelor's degree,standard,none,62,67,64
female,group C,some high school,standard,none,72,78,73
female,group D,some college,standard,none,81,86,95
female,group C,some college,standard,none,53,64,63
male,group A,some college,free/reduced,completed,69,68,65
female,group D,some college,free/reduced,none,50,61,61
female,group C,some college,standard,completed,57,70,72
male,group C,some college,free/reduced,none,62,68,64
male,group C,high school,free/reduced,none,60,65,60
female,group E,associate's degree,standard,none,99,96,97
female,group E,some college,standard,completed,61,72,71
female,group E,some college,free/reduced,none,67,82,76
male,group E,high school,standard,none,62,39,39
male,group B,associate's degree,free/reduced,completed,65,62,59
female,group E,associate's degree,standard,completed,76,80,75
male,group C,bachelor's degree,standard,completed,76,81,77
female,group B,some college,standard,none,69,80,80
male,group B,some college,free/reduced,none,87,72,73
female,group C,high school,standard,completed,71,81,77
female,group B,bachelor's degree,standard,none,86,89,94
female,group A,some college,standard,none,50,58,56
female,group D,some high school,free/reduced,none,38,62,58
female,group B,some high school,standard,none,65,80,74
male,group D,some college,free/reduced,completed,79,79,72
female,group D,bachelor's degree,free/reduced,none,87,92,94
female,group B,associate's degree,free/reduced,completed,46,61,63
male,group C,some college,standard,completed,77,78,73
male,group D,some college,standard,none,81,65,66
female,group C,associate's degree,standard,none,91,92,88
male,group D,bachelor's degree,free/reduced,none,59,67,58
male,group D,some high school,standard,completed,79,71,68
male,group D,some college,standard,completed,65,70,72
male,group C,associate's degree,standard,none,72,59,58
female,group C,some high school,standard,none,60,62,61
male,group C,high school,standard,none,35,32,25
female,group D,high school,standard,completed,87,99,100
female,group C,some college,free/reduced,none,50,65,61
male,group E,bachelor's degree,standard,none,90,77,73
female,group B,some college,standard,completed,71,80,82
male,group B,some college,standard,none,81,70,70
female,group C,associate's degree,standard,none,58,57,62
female,group B,bachelor's degree,standard,completed,92,100,100
female,group C,high school,free/reduced,none,24,31,26
female,group D,some college,free/reduced,none,45,53,47
female,group A,master's degree,standard,none,60,64,69
male,group E,high school,standard,none,98,93,87
male,group B,bachelor's degree,free/reduced,none,55,60,49
male,group C,master's degree,free/reduced,none,67,67,63
male,group D,bachelor's degree,standard,completed,95,93,98
male,group D,some college,standard,none,70,68,69
female,group D,some high school,standard,none,31,32,39
male,group E,associate's degree,standard,none,88,64,63
female,group B,associate's degree,free/reduced,none,37,56,58
female,group C,associate's degree,standard,completed,77,82,84
male,group D,high school,standard,completed,96,87,82
male,group D,high school,standard,none,82,89,84
female,group B,bachelor's degree,free/reduced,none,48,51,51
female,group C,high school,standard,completed,51,67,63
female,group B,bachelor's degree,standard,none,70,79,72
female,group D,high school,standard,completed,80,88,92
male,group E,some high school,standard,none,90,76,71
male,group E,high school,standard,none,76,70,69
male,group C,associate's degree,free/reduced,none,63,57,51
male,group E,some college,standard,none,60,55,52
male,group D,associate's degree,standard,none,55,53,52
male,group E,high school,standard,none,83,65,61
female,group D,some college,free/reduced,none,38,43,40
male,group C,some college,free/reduced,completed,51,54,55
female,group B,bachelor's degree,standard,none,75,77,85
male,group D,bachelor's degree,standard,completed,71,77,78
male,group A,some high school,standard,completed,55,54,58
female,group D,master's degree,standard,none,80,91,89
female,group B,some college,free/reduced,completed,50,73,71
female,group C,associate's degree,free/reduced,none,57,71,62
female,group D,associate's degree,standard,none,74,82,77
female,group D,some high school,free/reduced,none,31,48,43
male,group C,high school,free/reduced,none,38,29,30
male,group A,some college,standard,completed,88,90,91
male,group B,bachelor's degree,standard,completed,75,61,65
male,group E,high school,free/reduced,none,62,52,50
female,group D,bachelor's degree,standard,none,65,65,70
female,group C,high school,free/reduced,completed,54,71,71
female,group E,some college,free/reduced,none,74,84,81
male,group B,some high school,standard,none,61,56,54
female,group E,master's degree,standard,completed,74,78,87
male,group E,bachelor's degree,standard,none,94,75,75
female,group D,some high school,standard,none,56,58,59
male,group B,high school,standard,none,65,62,60
female,group E,associate's degree,standard,none,94,89,85
female,group D,master's degree,standard,completed,72,75,85
female,group D,some college,standard,none,44,60,60
female,group E,bachelor's degree,standard,completed,100,100,100
female,group C,high school,free/reduced,none,58,77,73
male,group D,associate's degree,standard,none,68,72,63
female,group D,master's degree,standard,none,58,54,62
male,group C,high school,free/reduced,none,54,61,55
female,group D,high school,standard,none,75,82,77
female,group E,some college,free/reduced,none,74,90,87
female,group D,high school,standard,completed,66,71,73
female,group D,associate's degree,standard,none,70,66,74
female,group B,some college,standard,none,67,77,74
female,group D,some high school,free/reduced,completed,76,81,86
female,group D,some college,standard,none,65,67,63
female,group D,bachelor's degree,standard,none,81,86,81
male,group C,some college,free/reduced,none,30,27,32
male,group C,some high school,standard,none,68,64,59
female,group D,some high school,standard,none,43,46,50
female,group B,some college,free/reduced,none,72,74,75
male,group E,associate's degree,standard,none,70,72,68
male,group B,some high school,free/reduced,none,42,41,38
male,group B,bachelor's degree,standard,none,83,82,86
male,group C,some college,standard,none,68,60,56
male,group C,some college,standard,completed,57,66,65
male,group C,some college,free/reduced,completed,73,82,72
female,group C,associate's degree,free/reduced,none,44,53,49
female,group D,high school,free/reduced,none,56,73,74
female,group B,bachelor's degree,free/reduced,none,47,72,61
female,group B,some college,standard,none,50,61,58
male,group D,associate's degree,standard,completed,78,66,73
female,group D,bachelor's degree,standard,none,82,87,94
female,group D,high school,standard,none,76,79,79
female,group E,high school,free/reduced,none,68,79,77
female,group C,bachelor's degree,standard,completed,76,85,87
male,group D,some high school,standard,none,58,51,46
female,group D,bachelor's degree,standard,none,73,73,82
male,group B,some college,standard,none,52,57,54
female,group E,high school,free/reduced,none,61,58,55
female,group D,high school,standard,completed,60,72,70
male,group D,associate's degree,standard,none,100,85,90
male,group C,some high school,free/reduced,completed,54,52,50
male,group E,associate's degree,standard,none,75,61,64
female,group E,high school,free/reduced,none,65,64,61
male,group E,associate's degree,standard,none,100,92,89
male,group B,some high school,free/reduced,none,63,62,54
male,group B,high school,free/reduced,none,44,38,32
male,group E,some high school,free/reduced,completed,93,93,80
female,group B,bachelor's degree,free/reduced,none,71,87,85
male,group E,some college,standard,completed,85,76,78
male,group E,associate's degree,standard,none,91,78,76
male,group D,some college,standard,none,68,48,52
male,group D,associate's degree,standard,none,74,70,71
female,group E,high school,free/reduced,none,53,72,57
male,group D,some high school,standard,completed,63,68,68
male,group B,high school,standard,completed,78,73,74
male,group C,some college,standard,none,42,32,28
female,group C,associate's degree,standard,completed,79,91,94
female,group C,some high school,free/reduced,none,66,74,72
female,group D,high school,standard,none,60,73,69
male,group C,bachelor's degree,standard,completed,77,85,81
female,group E,master's degree,standard,none,97,96,94
female,group C,some college,standard,completed,48,60,70
male,group C,high school,standard,completed,93,99,92
female,group C,some high school,free/reduced,none,36,58,54
female,group C,bachelor's degree,standard,completed,83,87,90
male,group C,associate's degree,standard,completed,63,69,70
female,group C,associate's degree,free/reduced,none,47,63,65
male,group D,some college,standard,completed,97,92,93
male,group C,bachelor's degree,standard,completed,97,89,90
female,group D,bachelor's degree,free/reduced,none,86,93,90
male,group B,some college,standard,completed,82,92,84
male,group C,high school,free/reduced,completed,72,66,67
male,group B,some college,standard,completed,58,55,52
male,group D,some college,standard,completed,77,82,78
female,group C,some college,standard,completed,93,99,99
male,group B,associate's degree,standard,none,74,66,62
female,group B,master's degree,free/reduced,none,66,70,69
male,group E,high school,standard,completed,71,60,65
female,group E,some high school,free/reduced,none,68,74,68
female,group C,bachelor's degree,standard,none,74,75,74
female,group B,associate's degree,standard,none,64,77,77
male,group E,high school,standard,completed,99,79,77
female,group C,associate's degree,standard,none,80,79,82
male,group C,master's degree,standard,completed,90,88,92
female,group C,bachelor's degree,free/reduced,completed,37,62,62
female,group C,some college,standard,completed,64,73,74
male,group C,associate's degree,standard,none,77,66,68
male,group C,some high school,free/reduced,completed,86,76,77
male,group D,some college,standard,none,56,52,49
male,group B,associate's degree,free/reduced,none,50,58,55
female,group E,bachelor's degree,standard,none,83,92,96
male,group B,associate's degree,standard,completed,86,85,75
female,group B,master's degree,free/reduced,completed,58,76,85
male,group E,master's degree,standard,none,79,76,70
female,group D,some high school,standard,completed,77,91,96
male,group D,master's degree,standard,none,85,87,84
male,group C,master's degree,free/reduced,completed,75,85,87
female,group D,bachelor's degree,standard,none,55,66,60
male,group E,associate's degree,standard,completed,78,61,61
female,group A,some college,standard,none,70,79,79
female,group D,associate's degree,free/reduced,none,57,71,70
female,group C,some high school,standard,completed,76,84,82
female,group B,bachelor's degree,standard,none,85,99,92
male,group A,some high school,standard,completed,56,49,51
female,group A,associate's degree,standard,none,29,33,32
female,group C,some high school,standard,none,49,68,58
female,group C,high school,free/reduced,completed,43,56,52
male,group D,bachelor's degree,standard,none,59,54,59
male,group D,some college,free/reduced,none,69,66,64
male,group C,high school,standard,completed,66,58,49
female,group E,bachelor's degree,standard,none,90,86,86
female,group A,master's degree,free/reduced,none,51,66,66
male,group D,some college,standard,completed,80,67,72
male,group D,associate's degree,standard,none,79,72,69
female,group D,high school,free/reduced,none,75,83,81
female,group D,some college,standard,none,89,92,99
female,group E,high school,standard,none,91,94,91
male,group A,bachelor's degree,free/reduced,completed,60,72,66
male,group D,some high school,standard,none,45,38,36
male,group D,bachelor's degree,free/reduced,none,63,64,61
male,group B,associate's degree,free/reduced,none,33,42,40
female,group C,some college,standard,none,30,43,42
male,group E,high school,standard,none,69,61,48
male,group C,high school,standard,none,72,77,70
male,group D,some college,standard,completed,91,84,86
male,group C,some college,standard,completed,61,67,59
male,group C,some college,standard,completed,88,85,85
female,group C,master's degree,free/reduced,none,37,47,51
male,group B,high school,standard,completed,57,56,53
female,group C,associate's degree,standard,none,66,73,73
female,group D,high school,standard,none,72,80,77
female,group D,high school,standard,none,83,91,92
female,group E,bachelor's degree,standard,completed,100,95,99
female,group B,some high school,standard,completed,69,88,88
female,group C,high school,free/reduced,none,34,45,44
female,group D,associate's degree,standard,none,68,78,82
male,group A,high school,standard,completed,73,64,61
male,group D,bachelor's degree,standard,none,56,56,51
male,group D,associate's degree,standard,none,81,73,70
male,group B,high school,standard,none,48,48,40
female,group D,associate's degree,standard,none,63,64,62
female,group D,some college,standard,none,53,73,70
male,group B,associate's degree,standard,completed,80,82,78
male,group C,high school,standard,none,75,78,75
female,group C,some college,free/reduced,none,38,40,44
female,group B,associate's degree,standard,completed,51,63,64
female,group C,some college,standard,completed,28,44,45
male,group D,high school,free/reduced,none,55,55,58
male,group D,some high school,free/reduced,none,43,50,42
male,group D,high school,free/reduced,completed,58,64,61
male,group D,some college,standard,none,66,73,68
male,group C,high school,standard,none,72,70,63
male,group B,associate's degree,standard,completed,72,73,79
male,group D,some high school,standard,none,90,93,81
female,group C,bachelor's degree,free/reduced,none,71,88,86
male,group B,high school,free/reduced,none,39,36,32
female,group E,some high school,standard,none,71,69,68
male,group C,master's degree,free/reduced,none,50,46,42
female,group D,some high school,standard,none,62,76,70
male,group B,bachelor's degree,standard,completed,85,87,85
male,group D,some college,standard,none,53,52,56
male,group B,associate's degree,free/reduced,completed,57,65,63
male,group B,high school,free/reduced,none,56,48,46
female,group B,associate's degree,standard,completed,63,72,77
female,group D,associate's degree,standard,completed,64,83,88
female,group B,high school,standard,none,79,90,92
female,group C,some college,standard,none,67,79,75
male,group D,some college,standard,completed,72,66,69
female,group A,master's degree,standard,none,75,80,87
male,group C,some college,standard,completed,52,57,58
female,group D,bachelor's degree,standard,none,74,81,88
male,group A,some high school,standard,none,82,80,67
female,group B,associate's degree,free/reduced,none,54,64,62
male,group C,some college,standard,none,71,61,62
male,group A,master's degree,free/reduced,none,67,58,59
male,group D,some college,free/reduced,none,43,40,40
male,group C,some college,standard,none,90,83,82
female,group D,high school,standard,none,72,83,83
female,group D,some college,standard,completed,77,78,88
male,group D,some college,standard,none,74,68,65
male,group D,some college,free/reduced,none,55,57,52
female,group E,some college,free/reduced,completed,55,67,63
male,group E,some college,standard,completed,85,85,83
female,group D,associate's degree,standard,none,74,79,79
male,group E,some college,standard,completed,75,64,66
male,group D,some college,standard,completed,64,67,69
male,group C,some college,free/reduced,none,63,54,49
male,group B,high school,free/reduced,completed,67,80,75
male,group E,master's degree,standard,completed,90,73,74
male,group B,bachelor's degree,free/reduced,none,53,50,49
male,group D,associate's degree,standard,completed,91,90,88
female,group D,some high school,standard,none,58,63,64
male,group C,high school,free/reduced,none,72,74,69
male,group C,associate's degree,standard,none,81,70,73
male,group E,some college,free/reduced,completed,99,90,90
female,group A,associate's degree,standard,none,66,73,72
male,group B,some college,free/reduced,none,53,55,47
female,group C,bachelor's degree,standard,completed,59,69,71
male,group C,some college,standard,none,42,48,43
male,group E,high school,standard,completed,84,81,85
female,group D,bachelor's degree,standard,none,98,96,96
male,group C,high school,standard,none,45,42,36
male,group D,associate's degree,free/reduced,none,73,75,77
female,group C,some high school,standard,none,51,62,64
male,group D,some college,standard,none,85,80,78
male,group C,bachelor's degree,standard,none,73,75,69
female,group E,high school,standard,completed,93,100,100
male,group B,high school,free/reduced,completed,37,43,39
female,group C,master's degree,standard,completed,63,77,79
male,group D,some college,free/reduced,completed,53,55,58
female,group D,high school,standard,none,91,90,98
female,group C,some high school,free/reduced,none,45,68,53
female,group B,some college,standard,completed,75,86,85
male,group C,some college,standard,none,56,44,44
male,group E,master's degree,standard,completed,82,78,83
male,group B,bachelor's degree,free/reduced,completed,47,40,37
male,group C,some college,standard,none,92,83,72
female,group C,high school,standard,none,70,72,74
female,group D,some high school,standard,completed,56,67,70
male,group B,high school,standard,completed,74,73,73
female,group E,high school,free/reduced,completed,75,76,75
female,group D,high school,standard,none,70,80,76
male,group B,master's degree,free/reduced,none,73,84,75
female,group C,master's degree,standard,none,83,78,83
male,group C,associate's degree,free/reduced,none,60,59,55
male,group B,some high school,standard,completed,57,56,56
male,group E,associate's degree,standard,completed,72,66,70
male,group C,some high school,standard,completed,89,83,87
female,group B,some college,standard,completed,69,87,92
female,group D,high school,standard,completed,73,89,87
female,group B,associate's degree,standard,none,60,72,70
female,group A,some college,standard,completed,70,77,78
male,group E,high school,free/reduced,none,53,43,46
female,group D,bachelor's degree,free/reduced,none,72,90,92
female,group B,bachelor's degree,free/reduced,completed,48,72,72
female,group C,some high school,standard,completed,48,70,66
male,group C,some high school,standard,completed,76,76,76
female,group A,some high school,free/reduced,none,68,84,78
male,group C,high school,standard,none,66,68,59
female,group C,some college,free/reduced,none,31,55,53
female,group A,bachelor's degree,free/reduced,none,42,54,50
male,group D,some high school,standard,none,82,80,74
male,group A,some college,free/reduced,completed,68,64,68
female,group C,some college,standard,none,46,54,55
male,group D,some college,standard,none,58,50,47
female,group C,high school,free/reduced,none,46,66,61
male,group D,associate's degree,standard,none,56,47,46
female,group D,associate's degree,free/reduced,none,81,91,89
female,group D,associate's degree,free/reduced,none,71,86,80
male,group D,some college,standard,none,69,60,60
male,group E,some college,standard,completed,100,100,100
male,group E,associate's degree,free/reduced,none,96,83,82
male,group E,associate's degree,free/reduced,completed,66,73,65
male,group E,some college,free/reduced,none,75,61,60
female,group D,bachelor's degree,standard,none,71,80,84
male,group D,associate's degree,free/reduced,none,44,38,43
male,group C,some college,standard,completed,77,71,71
female,group D,some college,standard,completed,83,83,87
female,group C,high school,standard,none,67,77,75
female,group D,some high school,free/reduced,completed,54,59,64
male,group D,some high school,standard,completed,88,77,87
female,group D,high school,free/reduced,completed,62,84,79
female,group D,high school,standard,none,62,72,73
female,group D,associate's degree,free/reduced,completed,79,83,90
female,group D,some college,standard,none,82,94,87
male,group C,some college,free/reduced,none,75,65,72
female,group C,bachelor's degree,standard,completed,85,87,84
female,group E,high school,standard,none,67,72,72
female,group B,associate's degree,free/reduced,completed,45,47,51
female,group B,master's degree,free/reduced,completed,61,83,86
female,group C,bachelor's degree,free/reduced,none,42,48,52
male,group C,some college,standard,completed,79,74,71
male,group C,some college,free/reduced,none,86,73,71
male,group B,master's degree,standard,none,62,63,58
male,group D,some high school,free/reduced,none,37,32,31
male,group C,bachelor's degree,standard,completed,69,78,77
female,group B,some college,standard,none,82,90,89
male,group C,bachelor's degree,free/reduced,none,64,73,67
male,group E,some high school,standard,none,56,45,37
male,group A,associate's degree,free/reduced,none,53,51,41
female,group B,some high school,standard,none,76,83,82
male,group C,some high school,standard,completed,59,42,38
male,group D,some college,standard,none,58,60,54
male,group C,some college,free/reduced,none,73,62,57
male,group B,bachelor's degree,standard,completed,85,75,77
female,group B,associate's degree,standard,completed,83,100,100
male,group E,some college,free/reduced,completed,55,53,49
female,group B,master's degree,free/reduced,none,39,55,52
male,group B,some high school,standard,none,58,49,43
female,group C,some college,free/reduced,none,33,48,49
male,group A,some college,free/reduced,none,37,36,30
female,group C,associate's degree,standard,none,69,73,71
female,group C,associate's degree,standard,none,58,59,59
female,group C,bachelor's degree,standard,none,84,80,81
male,group A,bachelor's degree,free/reduced,completed,83,74,75
male,group C,master's degree,free/reduced,none,65,66,64
female,group B,high school,standard,completed,69,78,75
female,group C,associate's degree,free/reduced,none,53,63,62
female,group B,bachelor's degree,standard,none,70,72,71
female,group D,some high school,standard,none,71,71,70
male,group A,some college,standard,none,51,54,49
male,group B,bachelor's degree,free/reduced,none,52,59,55
female,group B,some high school,standard,completed,43,49,58
male,group C,associate's degree,standard,none,74,68,67
female,group C,high school,standard,none,51,63,61
male,group C,bachelor's degree,free/reduced,none,72,63,65
male,group B,some college,standard,completed,74,68,64
male,group B,some college,free/reduced,none,39,42,39
female,group C,high school,standard,completed,82,94,97
female,group C,some college,standard,completed,86,100,100
female,group D,bachelor's degree,free/reduced,completed,73,92,82
male,group D,some college,free/reduced,none,64,67,58
male,group C,high school,standard,completed,67,73,68
male,group E,associate's degree,standard,none,92,84,78
female,group B,master's degree,free/reduced,none,67,71,74
male,group B,some high school,free/reduced,none,53,51,42
male,group E,associate's degree,standard,none,48,45,38
female,group A,bachelor's degree,standard,none,52,65,62
male,group D,bachelor's degree,standard,none,83,75,78
male,group A,high school,free/reduced,none,53,62,57
male,group B,high school,standard,none,72,56,57
female,group E,master's degree,standard,none,64,71,65
male,group D,associate's degree,standard,none,70,63,68
male,group B,high school,standard,none,43,47,40
female,group A,some college,standard,none,72,84,78
female,group E,high school,standard,completed,84,95,89
female,group C,some college,standard,completed,62,64,67
female,group E,high school,standard,none,56,67,61
female,group B,some college,free/reduced,completed,68,87,85
female,group C,some college,standard,none,57,72,71
female,group B,associate's degree,standard,completed,84,81,88
male,group E,some high school,standard,none,81,71,68
female,group A,associate's degree,free/reduced,completed,53,72,67
male,group D,bachelor's degree,standard,completed,55,63,66
female,group C,associate's degree,standard,completed,62,69,73
female,group C,associate's degree,standard,none,76,77,77
female,group C,high school,standard,completed,46,56,58
male,group B,associate's degree,standard,none,89,76,70
male,group D,associate's degree,free/reduced,none,56,64,65
female,group A,associate's degree,standard,none,48,53,54
male,group C,associate's degree,free/reduced,none,77,73,74
female,group B,associate's degree,free/reduced,none,75,91,90
male,group B,some college,standard,completed,84,91,88
male,group A,some high school,free/reduced,none,78,73,71
male,group B,some college,free/reduced,completed,56,58,59
female,group D,some high school,standard,completed,63,66,67
male,group E,master's degree,standard,none,92,74,76
female,group C,some college,standard,none,61,75,75
male,group D,associate's degree,standard,none,56,51,51
male,group B,some high school,standard,completed,73,79,80
male,group A,bachelor's degree,free/reduced,completed,73,85,77
male,group C,some high school,standard,none,39,46,43
female,group D,associate's degree,free/reduced,none,58,62,67
female,group C,some college,free/reduced,none,34,56,57
female,group E,some college,standard,none,83,90,83
female,group B,some college,free/reduced,none,47,51,58
male,group B,some college,standard,completed,58,67,56
female,group C,high school,standard,none,74,73,70
male,group E,high school,standard,none,83,72,64
female,group C,bachelor's degree,standard,none,61,66,67
male,group E,bachelor's degree,standard,none,93,79,77
male,group D,associate's degree,free/reduced,none,70,69,68
male,group D,master's degree,standard,completed,66,61,64
female,group B,high school,standard,completed,81,80,80
male,group C,high school,standard,none,73,62,58
male,group D,some high school,standard,none,81,62,70
male,group E,high school,standard,none,77,54,47
male,group C,some college,standard,completed,56,52,54
female,group C,some college,free/reduced,none,68,80,77
male,group C,bachelor's degree,free/reduced,none,36,39,40
female,group E,high school,standard,none,80,76,77
male,group E,associate's degree,standard,none,88,82,82
male,group D,bachelor's degree,free/reduced,completed,63,65,70
male,group D,high school,standard,completed,56,60,60
male,group D,some college,standard,none,71,76,75
female,group A,some high school,standard,completed,50,65,59
male,group C,some high school,standard,none,68,71,66
male,group C,some college,standard,completed,69,67,67
male,group D,some college,free/reduced,completed,81,86,86
female,group A,associate's degree,free/reduced,none,50,59,59
male,group E,high school,free/reduced,none,69,62,61
male,group B,some college,standard,none,65,55,55
male,group D,some high school,free/reduced,completed,37,43,46
female,group E,high school,standard,none,74,79,80
female,group C,some high school,standard,none,61,61,56
female,group A,some high school,free/reduced,none,48,58,59
male,group B,associate's degree,free/reduced,none,55,54,47
female,group D,high school,standard,none,78,86,86
female,group B,some college,standard,completed,74,76,78
female,group A,associate's degree,free/reduced,completed,30,49,48
male,group C,high school,standard,none,86,70,65
female,group B,bachelor's degree,standard,none,74,78,78
male,group D,some high school,free/reduced,none,74,68,66
male,group D,some college,free/reduced,completed,62,58,62
female,group B,associate's degree,standard,none,83,93,91
female,group E,some high school,standard,none,79,85,84
female,group C,some high school,standard,none,71,73,69
female,group D,some high school,standard,completed,64,86,80
female,group B,bachelor's degree,standard,none,68,72,75
male,group C,high school,standard,none,79,85,74
male,group D,some college,standard,none,67,69,61
female,group B,associate's degree,free/reduced,completed,34,55,54
male,group C,high school,free/reduced,none,71,71,65
male,group B,some college,standard,none,85,74,71
female,group B,bachelor's degree,free/reduced,completed,73,83,88
male,group E,some college,standard,none,71,58,60
male,group C,master's degree,standard,completed,59,62,64
female,group D,high school,free/reduced,none,83,90,88
female,group E,some college,standard,none,57,65,64
male,group D,bachelor's degree,free/reduced,none,68,71,68
female,group D,some college,free/reduced,none,70,78,84
female,group C,associate's degree,standard,none,47,60,57
male,group A,associate's degree,standard,none,77,74,69
male,group A,master's degree,free/reduced,none,75,78,69
female,group D,some high school,standard,none,53,58,62
male,group D,associate's degree,free/reduced,none,83,69,71
female,group A,high school,standard,none,71,81,72
male,group E,associate's degree,free/reduced,none,57,58,54
female,group C,some high school,standard,none,52,64,64
